ID,X,Y,Z
118,88848.17,54816.66,1500.0
119,99478.9,44009.41,1500.0
120,88848.17,54816.66,1750.0
121,99478.9,44009.41,1750.0
122,88848.17,54816.66,2000.0
123,99478.9,44009.41,2000.0
124,88848.17,54816.66,2250.0
125,99478.9,44009.41,2250.0
126,88848.17,54816.66,2500.0
127,99478.9,44009.41,2500.0
128,88848.17,54816.66,2750.0
129,99478.9,44009.41,2750.0
130,88848.17,54816.66,3000.0
131,99478.9,44009.41,3000.0
132,88848.17,54816.66,3250.0
133,99478.9,44009.41,3250.0
134,88848.17,54816.66,3500.0
135,99478.9,44009.41,3500.0
136,88848.17,54816.66,3750.0
137,99478.9,44009.41,3750.0
138,88848.17,54816.66,4000.0
139,99478.9,44009.41,4000.0
140,88848.17,54816.66,4250.0
141,99478.9,44009.41,4250.0
142,88848.17,54816.66,4500.0
143,99478.9,44009.41,4500.0
144,88848.17,54816.66,4750.0
145,99478.9,44009.41,4750.0
146,88848.17,54816.66,5000.0
147,99478.9,44009.41,5000.0
148,88848.17,54816.66,5250.0
149,99478.9,44009.41,5250.0
150,99925.21,37366.23,0.0
151,101278.09,37375.37,0.0
152,101418.27,38959.04,0.0
153,102978.76,39034.55,0.0
154,102876.03,40483.36,0.0
155,104548.83,40583.33,0.0
156,105621.35,41612.66,0.0
157,105468.2,43165.48,0.0
158,93930.09,54957.24,0.0
159,100174.81,37213.18,0.0
160,100456.85,37134.62,0.0
161,100749.63,37136.59,0.0
162,101030.58,37218.96,0.0
163,101703.19,38754.64,0.0
164,102039.51,38655.38,0.0
165,102389.75,38672.33,0.0
166,102714.91,38803.59,0.0
167,103184.77,40269.98,0.0
168,103546.22,40168.96,0.0
169,103920.85,40191.35,0.0
170,104267.7,40334.69,0.0
171,105816.18,41905.82,0.0
172,105901.26,42247.38,0.0
173,105866.71,42597.67,0.0
174,105716.54,42916.03,0.0
175,98150.31,39128.99,800.0
176,99925.21,37366.23,800.0
177,98150.31,39128.99,1600.0
178,99925.21,37366.23,1600.0
179,99925.21,37366.23,800.0
180,101278.09,37375.37,800.0
181,99925.21,37366.23,1600.0
182,101278.09,37375.37,1600.0
183,101278.09,37375.37,800.0
184,102978.76,39034.55,800.0
185,101278.09,37375.37,1600.0
186,102978.76,39034.55,1600.0
187,100749.63,37136.59,800.0
188,100749.63,37136.59,1600.0
189,99685.82,40670.61,800.0
190,101418.27,38959.04,800.0
191,99685.82,40670.61,1600.0
192,101418.27,38959.04,1600.0
193,102039.51,38655.38,800.0
194,102039.51,38655.38,1600.0
195,101418.27,38959.04,800.0
196,102978.76,39034.55,800.0
197,101418.27,38959.04,1600.0
198,102978.76,39034.55,1600.0
199,102978.76,39034.55,800.0
200,104548.83,40583.33,800.0
201,102978.76,39034.55,1600.0
202,104548.83,40583.33,1600.0
203,101220.92,42179.15,800.0
204,102876.03,40483.36,800.0
205,101220.92,42179.15,1600.0
206,102876.03,40483.36,1600.0
207,103546.22,40168.96,800.0
208,103546.22,40168.96,1600.0
209,102876.03,40483.36,800.0
210,104548.83,40583.33,800.0
211,102876.03,40483.36,1600.0
212,104548.83,40583.33,1600.0
213,104548.83,40583.33,800.0
214,105621.35,41612.66,800.0
215,104548.83,40583.33,1600.0
216,105621.35,41612.66,1600.0
217,105816.18,41905.82,800.0
218,105816.18,41905.82,1600.0
219,105621.35,41612.66,800.0
220,105468.2,43165.48,800.0
221,105621.35,41612.66,1600.0
222,105468.2,43165.48,1600.0
223,105468.2,43165.48,800.0
224,93930.09,54957.24,800.0
225,105468.2,43165.48,1600.0
226,93930.09,54957.24,1600.0
